Vortex	x	y
1	342	754
2	259	747
3	284	770
4	459	744
5	726	724
6	492	706
7	354	700
8	445	677
9	462	665
10	360	624
11	429	576
12	358	554
13	371	568
14	459	547
15	63	551
16	716	527
17	47	533
18	475	520
19	770	515
20	62	474
21	116	462
22	447	462
23	192	456
24	247	444
25	262	459
26	609	442
27	240	387
28	717	375
29	139	370
30	353	368
31	71	358
32	269	357
33	149	354
34	30	353
35	509	348
36	296	341
37	662	338
38	706	351
39	108	321
40	467	306
41	374	206
42	475	142
43	467	117
44	288	99
45	439	99
46	91	86
47	301	46
