Vortex	x	y
1	174	803
2	364	775
3	769	766
4	446	741
5	490	739
6	554	775
7	348	696
8	370	685
9	355	670
10	114	665
11	151	700
12	354	661
13	17	644
14	449	630
15	333	583
16	378	577
17	738	555
18	565	545
19	534	551
20	427	527
21	233	483
22	375	480
23	636	479
24	505	476
25	411	477
26	794	474
27	565	473
28	488	474
29	119	468
30	340	463
31	354	476
32	145	461
33	473	459
34	723	458
35	41	452
36	131	445
37	337	441
38	238	437
39	339	405
40	662	392
41	288	389
42	74	370
43	186	367
44	356	342
45	469	331
46	485	347
47	342	328
48	340	313
49	265	279
50	38	257
51	76	324
52	343	254
53	270	256
54	337	180
55	423	153
56	358	93
57	261	78
58	50	47
59	341	22
