Vortex	x	y
1	372	804
2	453	793
3	304	698
4	534	696
5	625	669
6	580	649
7	336	645
8	774	644
9	377	593
10	426	569
11	333	557
12	760	512
13	117	512
14	569	508
15	462	506
16	583	501
17	517	489
18	258	484
19	170	481
20	533	479
21	361	474
22	502	466
23	780	461
24	341	453
25	11	443
26	223	439
27	737	438
28	675	391
29	246	389
30	554	373
31	23	364
32	310	353
33	350	314
34	327	299
35	337	282
36	119	281
37	443	262
38	167	236
39	316	232
40	307	248
41	147	191
42	425	141
43	378	78
44	303	55
45	172	42
46	355	36
