Vortex	x	y
1	471	803
2	665	794
3	644	688
4	361	586
5	454	581
6	662	567
7	603	558
8	613	579
9	588	553
10	722	488
11	752	473
12	766	479
13	700	467
14	642	461
15	230	454
16	577	442
17	527	445
18	532	412
19	530	387
20	235	361
21	589	359
22	532	359
23	642	358
24	689	354
25	733	346
26	13	345
27	775	336
28	508	332
29	813	327
30	798	309
31	484	308
32	429	287
33	370	289
34	403	284
35	457	283
36	753	258
37	373	239
38	263	228
39	457	226
40	747	218
41	789	214
42	764	209
43	236	204
44	259	213
45	714	203
46	658	198
47	458	173
48	354	173
49	126	173
50	618	158
51	248	154
52	22	149
53	462	127
54	348	115
55	612	103
56	327	94
57	470	83
58	598	68
59	558	63
60	340	58
61	607	51
62	480	41
63	602	27
64	507	18
65	489	3
