Vortex	x	y
1	337	797
2	440	795
3	475	793
4	336	783
5	370	753
6	474	715
7	436	654
8	313	645
9	377	616
10	545	615
11	669	598
12	500	581
13	357	581
14	339	572
15	501	567
16	360	557
17	337	555
18	760	508
19	171	502
20	566	496
21	668	488
22	33	479
23	17	479
24	262	478
25	244	477
26	664	475
27	235	459
28	259	456
29	519	454
30	63	446
31	200	439
32	671	393
33	160	379
34	21	377
35	538	363
36	563	367
37	100	341
38	23	341
39	249	315
40	235	315
41	362	297
42	803	280
43	452	273
44	201	270
45	449	256
46	320	247
47	340	151
48	327	147
49	217	147
50	423	145
51	307	56
52	536	12
