Vortex	x	y
1	370	793
2	454	778
3	452	728
4	439	706
5	304	694
6	535	692
7	620	665
8	581	648
9	769	641
10	335	639
11	377	581
12	332	559
13	435	558
14	758	512
15	121	512
16	566	508
17	586	497
18	521	491
19	258	484
20	563	480
21	176	481
22	459	470
23	487	464
24	779	461
25	786	448
26	23	445
27	235	439
28	685	393
29	257	381
30	110	376
31	542	368
32	88	363
33	37	361
34	346	357
35	352	329
36	325	295
37	123	281
38	448	274
39	336	253
40	308	249
41	167	234
42	319	231
43	150	195
44	422	131
45	303	57
46	174	46
47	355	37
48	368	29
