Vortex	x	y
1	455	784
2	348	754
3	305	719
4	529	716
5	383	694
6	642	686
7	795	654
8	446	644
9	576	644
10	460	649
11	356	521
12	341	544
13	566	521
14	773	512
15	97	511
16	591	508
17	509	487
18	439	470
19	62	468
20	567	467
21	293	462
22	271	474
23	612	456
24	122	433
25	699	418
26	487	380
27	346	376
28	171	369
29	32	360
30	537	360
31	171	354
32	665	345
33	637	341
34	758	327
35	436	328
36	328	306
37	100	286
38	455	280
39	348	248
40	294	250
41	172	239
42	307	225
43	359	204
44	474	179
45	129	173
46	471	151
47	398	116
48	488	58
49	303	43
50	162	20
