Vortex	x	y
1	457	813
2	164	801
3	367	790
4	558	785
5	779	775
6	518	771
7	443	764
8	491	749
9	373	705
10	346	704
11	450	665
12	15	651
13	382	593
14	330	589
15	745	561
16	535	556
17	568	551
18	433	541
19	226	485
20	635	480
21	797	478
22	813	476
23	354	476
24	579	472
25	371	473
26	112	470
27	722	466
28	459	463
29	497	479
30	444	465
31	340	463
32	773	450
33	26	448
34	344	445
35	111	443
36	703	436
37	222	433
38	274	382
39	637	378
40	51	373
41	351	370
42	150	365
43	353	356
44	3	358
45	344	340
46	338	322
47	66	324
48	45	299
49	258	284
50	30	257
51	264	247
52	343	237
53	335	180
54	436	177
55	378	112
56	350	94
57	254	71
58	366	44
59	41	38
60	338	21
61	340	1
