Vortex	x	y
1	370	790
2	455	774
3	454	731
4	437	701
5	304	694
6	535	691
7	620	665
8	581	648
9	768	641
10	334	638
11	377	579
12	332	559
13	437	555
14	757	512
15	122	512
16	565	508
17	587	496
18	522	492
19	258	484
20	572	481
21	177	481
22	463	466
23	485	464
24	780	461
25	793	448
26	26	446
27	237	439
28	685	393
29	260	378
30	114	378
31	540	367
32	85	362
33	42	361
34	349	354
35	352	331
36	324	294
37	124	281
38	448	275
39	308	250
40	336	244
41	168	235
42	320	228
43	151	196
44	422	130
45	305	59
46	175	48
47	354	36
48	368	22
