Vortex	x	y
1	368	805
2	157	806
3	575	799
4	441	785
5	788	785
6	514	781
7	487	754
8	374	723
9	343	713
10	449	699
11	10	659
12	383	602
13	327	596
14	754	568
15	534	563
16	440	559
17	579	556
18	220	488
19	784	484
20	641	483
21	352	481
22	493	482
23	102	473
24	711	471
25	472	471
26	335	464
27	11	448
28	92	441
29	213	434
30	684	422
31	467	386
32	257	376
33	30	375
34	596	371
35	116	367
36	1	353
37	430	349
38	62	329
39	334	322
40	349	351
41	785	321
42	36	303
43	253	282
44	260	234
45	15	238
46	445	220
47	333	176
48	394	131
49	343	105
50	248	62
51	331	32
52	495	30
53	31	28
