Vortex	x	y
1	327	813
2	373	807
3	454	798
4	479	782
5	367	735
6	451	694
7	320	623
8	478	602
9	545	589
10	507	587
11	623	578
12	341	580
13	387	548
14	499	510
15	352	499
16	340	522
17	753	499
18	193	496
19	604	492
20	721	491
21	4	488
22	422	483
23	520	479
24	236	474
25	319	465
26	292	477
27	80	450
28	9	441
29	648	436
30	267	428
31	332	393
32	703	387
33	122	365
34	17	362
35	447	353
36	465	370
37	34	337
38	213	338
39	306	317
40	229	308
41	337	295
42	226	271
43	324	212
44	238	193
45	381	166
46	428	112
47	324	95
48	316	61
