Vortex	x	y
1	159	805
2	367	802
3	572	797
4	786	783
5	441	781
6	515	779
7	487	752
8	374	720
9	344	711
10	450	694
11	11	658
12	382	600
13	328	594
14	751	567
15	533	562
16	576	555
17	439	555
18	221	488
19	785	483
20	640	482
21	352	479
22	104	472
23	712	470
24	470	469
25	496	482
26	336	464
27	14	447
28	96	442
29	214	433
30	686	423
31	465	378
32	261	377
33	35	375
34	606	371
35	122	366
36	1	353
37	437	350
38	343	340
39	63	328
40	801	320
41	335	323
42	36	300
43	254	281
44	261	237
45	18	241
46	445	209
47	333	176
48	393	130
49	346	103
50	248	63
51	332	30
52	32	29
53	496	15
