Vortex	x	y
1	454	807
2	348	789
3	305	726
4	526	722
5	380	718
6	647	690
7	802	657
8	573	637
9	467	622
10	384	560
11	349	536
12	561	529
13	780	512
14	90	511
15	597	509
16	507	484
17	518	471
18	25	467
19	280	467
20	633	454
21	97	436
22	256	431
23	690	419
24	474	383
25	9	362
26	577	355
27	193	350
28	431	341
29	623	336
30	744	329
31	710	337
32	331	309
33	344	298
34	94	290
35	284	255
36	178	242
37	460	239
38	307	217
39	480	193
40	362	183
41	125	168
42	397	126
43	486	79
44	478	108
45	304	37
46	158	13
47	440	2
