Vortex	x	y
1	453	811
2	350	805
3	379	727
4	305	728
5	525	724
6	649	693
7	804	658
8	573	635
9	467	629
10	388	565
11	560	534
12	350	533
13	782	512
14	88	511
15	600	509
16	505	483
17	510	470
18	718	466
19	673	466
20	281	466
21	11	465
22	635	454
23	88	437
24	250	428
25	683	420
26	470	382
27	761	380
28	5	363
29	585	353
30	187	349
31	434	347
32	621	335
33	332	310
34	346	307
35	92	291
36	281	256
37	181	242
38	462	231
39	305	216
40	480	195
41	362	181
42	124	167
43	349	142
44	396	132
45	349	98
46	435	55
47	303	33
48	158	12
