Vortex	x	y
1	461	784
2	696	759
3	471	752
4	472	625
5	739	546
6	630	530
7	363	502
8	815	476
9	800	481
10	765	472
11	452	465
12	708	465
13	491	456
14	645	456
15	312	453
16	554	449
17	589	447
18	350	362
19	648	361
20	30	356
21	691	352
22	734	350
23	779	347
24	64	343
25	191	343
26	360	324
27	366	261
28	370	225
29	283	185
30	786	181
31	360	171
32	455	167
33	719	149
34	732	174
35	754	140
36	768	148
37	464	124
38	57	120
39	351	108
40	642	85
41	665	100
42	466	82
43	270	77
44	344	51
45	665	43
46	675	62
47	468	36
48	634	29
49	337	11
