Vortex	x	y
1	366	769
2	464	747
3	620	744
4	602	576
5	577	565
6	452	565
7	657	555
8	366	497
9	677	470
10	621	461
11	364	462
12	492	459
13	353	452
14	46	451
15	565	451
16	319	449
17	578	364
18	251	364
19	628	360
20	674	353
21	69	352
22	717	345
23	511	345
24	523	362
25	756	335
26	357	325
27	742	305
28	455	294
29	469	305
30	697	253
31	365	250
32	452	238
33	249	238
34	638	224
35	645	241
36	688	223
37	722	216
38	229	212
39	247	215
40	658	208
41	72	195
42	355	195
43	456	187
44	574	172
45	591	178
46	260	160
47	607	157
48	462	142
49	345	138
50	592	127
51	563	119
52	603	102
53	471	99
54	596	85
55	509	72
56	481	59
