Vortex	x	y
1	370	791
2	455	776
3	454	730
4	439	703
5	304	694
6	535	692
7	620	665
8	581	648
9	769	641
10	335	639
11	377	580
12	332	559
13	436	557
14	758	512
15	121	512
16	565	508
17	587	496
18	521	492
19	258	484
20	570	480
21	177	481
22	461	467
23	486	463
24	779	461
25	790	448
26	25	445
27	236	439
28	685	394
29	259	378
30	112	377
31	541	367
32	87	362
33	40	361
34	348	355
35	352	330
36	325	294
37	124	281
38	448	274
39	336	248
40	308	249
41	167	235
42	319	229
43	150	195
44	422	131
45	304	58
46	174	46
47	355	37
48	368	26
