Vortex	x	y
1	366	772
2	464	750
3	621	742
4	600	569
5	606	588
6	452	566
7	577	564
8	657	557
9	367	498
10	721	481
11	678	470
12	622	461
13	364	461
14	495	458
15	354	452
16	44	450
17	566	449
18	317	449
19	578	364
20	249	364
21	629	360
22	675	353
23	65	351
24	718	345
25	511	345
26	523	361
27	758	336
28	358	321
29	743	304
30	456	293
31	471	304
32	697	252
33	366	249
34	250	239
35	452	237
36	638	226
37	645	240
38	690	223
39	731	219
40	714	213
41	238	212
42	658	208
43	74	195
44	355	194
45	457	186
46	576	172
47	590	177
48	259	159
49	608	158
50	462	141
51	345	137
52	592	126
53	564	118
54	602	101
55	471	98
56	333	96
57	596	84
58	513	73
59	481	58
