Vortex	x	y
1	368	809
2	155	807
3	580	803
4	440	791
5	790	787
6	514	783
7	486	756
8	374	728
9	342	717
10	449	706
11	8	660
12	382	606
13	327	598
14	756	570
15	533	565
16	441	565
17	583	558
18	218	490
19	780	486
20	641	484
21	353	483
22	494	483
23	709	474
24	100	473
25	470	469
26	550	466
27	333	464
28	7	448
29	87	441
30	210	433
31	682	419
32	468	398
33	25	376
34	252	375
35	578	371
36	109	367
37	418	347
38	346	346
39	61	330
40	765	322
41	333	324
42	33	304
43	250	283
44	349	266
45	445	239
46	258	232
47	11	231
48	332	174
49	395	133
50	341	107
51	246	59
52	494	52
53	330	34
54	30	27
