Vortex	x	y
1	371	797
2	454	785
3	445	718
4	304	696
5	535	694
6	622	667
7	580	649
8	771	642
9	334	642
10	377	585
11	430	564
12	332	558
13	758	512
14	120	512
15	567	508
16	459	503
17	584	499
18	520	490
19	258	483
20	547	480
21	174	480
22	492	464
23	778	461
24	770	445
25	18	444
26	231	439
27	682	393
28	252	387
29	547	370
30	88	366
31	102	375
32	31	362
33	313	357
34	350	323
35	326	296
36	122	281
37	446	269
38	336	269
39	308	249
40	167	236
41	317	231
42	149	194
43	423	134
44	305	58
45	371	46
46	173	44
47	355	37
