Vortex	x	y
1	306	798
2	463	709
3	462	684
4	463	666
5	346	635
6	458	616
7	714	602
8	468	602
9	561	601
10	312	584
11	365	578
12	432	539
13	376	519
14	17	509
15	230	504
16	450	475
17	181	470
18	593	455
19	559	454
20	541	458
21	238	450
22	297	440
23	548	438
24	785	416
25	662	396
26	277	384
27	523	381
28	340	365
29	684	362
30	200	358
31	708	355
32	132	354
33	149	352
34	105	352
35	580	348
36	214	348
37	432	291
38	377	268
39	360	266
40	214	255
41	468	236
42	361	223
43	419	154
44	454	131
45	461	106
46	213	101
47	399	31
