Vortex	x	y
1	458	812
2	164	802
3	367	791
4	560	786
5	779	776
6	517	771
7	443	765
8	491	749
9	373	707
10	345	705
11	450	668
12	14	652
13	383	594
14	330	590
15	745	562
16	534	557
17	567	552
18	434	542
19	226	486
20	636	480
21	801	478
22	354	476
23	579	472
24	371	471
25	111	470
26	721	466
27	460	463
28	496	479
29	339	463
30	762	451
31	25	449
32	345	445
33	110	443
34	700	434
35	222	433
36	273	382
37	635	377
38	50	373
39	148	366
40	2	358
41	66	326
42	336	320
43	349	348
44	45	300
45	258	281
46	28	253
47	265	245
48	344	237
49	439	182
50	335	180
51	382	116
52	350	95
53	253	70
54	365	54
55	40	37
56	337	22
