Vortex	x	y
1	439	799
2	337	796
3	475	793
4	337	787
5	370	756
6	473	717
7	436	658
8	313	646
9	377	618
10	545	616
11	670	599
12	338	569
13	359	572
14	337	560
15	759	508
16	170	503
17	567	496
18	664	489
19	26	479
20	242	477
21	259	479
22	656	473
23	243	457
24	522	455
25	60	446
26	813	440
27	198	439
28	669	392
29	158	380
30	17	377
31	569	367
32	536	362
33	23	342
34	99	342
35	235	316
36	361	294
37	803	280
38	454	280
39	200	270
40	449	247
41	320	247
42	342	159
43	327	152
44	424	146
45	216	145
46	308	56
47	536	14
48	375	1
