Vortex	x	y
1	462	800
2	464	778
3	342	755
4	459	748
5	258	748
6	286	772
7	728	725
8	494	708
9	354	702
10	446	679
11	463	664
12	359	626
13	429	578
14	369	570
15	357	558
16	458	551
17	717	528
18	42	529
19	68	559
20	475	520
21	771	515
22	60	473
23	442	466
24	113	462
25	259	459
26	189	456
27	599	443
28	246	445
29	237	387
30	708	378
31	137	369
32	349	373
33	68	358
34	264	357
35	16	354
36	149	353
37	37	352
38	702	350
39	509	349
40	296	341
41	664	338
42	106	319
43	467	306
44	372	217
45	477	153
46	465	112
47	437	106
48	287	99
49	89	85
50	300	44
