Vortex	x	y
1	51	810
2	338	798
3	476	790
4	440	777
5	337	775
6	5	764
7	367	735
8	474	704
9	433	644
10	314	642
11	546	610
12	378	602
13	660	595
14	502	587
15	342	580
16	356	589
17	500	550
18	341	537
19	353	531
20	758	506
21	174	501
22	569	495
23	687	488
24	435	487
25	41	479
26	18	478
27	689	476
28	277	475
29	286	463
30	232	468
31	83	449
32	214	438
33	678	397
34	171	382
35	329	379
36	38	376
37	112	341
38	25	340
39	264	315
40	228	315
41	808	280
42	206	270
43	321	245
44	221	156
45	418	138
46	328	128
47	341	127
48	309	57
49	536	9
