Vortex	x	y
1	375	813
2	453	810
3	479	784
4	30	760
5	54	785
6	365	749
7	449	710
8	360	628
9	319	626
10	473	608
11	545	592
12	506	588
13	628	581
14	344	581
15	353	596
16	387	555
17	499	515
18	348	503
19	338	525
20	749	499
21	190	496
22	597	492
23	725	492
24	2	488
25	413	483
26	518	476
27	312	468
28	294	476
29	228	468
30	188	455
31	548	451
32	67	451
33	2	439
34	261	429
35	332	402
36	695	391
37	106	367
38	5	363
39	207	342
40	31	337
41	301	317
42	228	309
43	340	298
44	223	270
45	364	269
46	324	219
47	235	187
48	425	120
49	323	92
50	317	66
