Vortex	x	y
1	616	754
2	360	731
3	460	703
4	571	575
5	653	549
6	454	545
7	665	471
8	466	463
9	420	461
10	370	459
11	608	459
12	85	456
13	552	454
14	356	447
15	355	396
16	572	365
17	271	362
18	619	359
19	113	356
20	664	353
21	353	350
22	706	344
23	362	263
24	692	259
25	641	246
26	451	243
27	241	245
28	577	228
29	588	240
30	629	224
31	237	217
32	227	216
33	661	215
34	678	223
35	355	207
36	63	200
37	457	196
38	591	186
39	568	174
40	267	163
41	463	151
42	343	150
43	593	135
44	600	152
45	556	123
46	472	109
