Vortex	x	y
1	455	795
2	348	770
3	304	722
4	528	718
5	382	703
6	644	688
7	798	655
8	575	642
9	465	616
10	349	534
11	563	525
12	364	524
13	775	512
14	94	511
15	594	508
16	509	487
17	422	472
18	537	469
19	46	468
20	623	456
21	291	450
22	276	471
23	352	443
24	373	464
25	112	434
26	696	418
27	343	396
28	479	385
29	20	361
30	557	357
31	204	351
32	687	342
33	628	338
34	431	335
35	752	328
36	330	305
37	97	288
38	346	279
39	458	259
40	290	252
41	173	240
42	308	220
43	360	192
44	478	188
45	128	171
46	474	128
47	397	120
48	489	61
49	304	41
50	161	18
