Vortex	x	y
1	811	810
2	507	808
3	328	802
4	373	783
5	478	772
6	453	769
7	368	700
8	450	644
9	322	614
10	542	581
11	516	581
12	490	590
13	610	571
14	339	566
15	387	534
16	339	527
17	498	499
18	761	497
19	201	494
20	621	490
21	352	492
22	712	487
23	14	488
24	522	478
25	289	476
26	249	477
27	434	475
28	323	463
29	489	454
30	459	462
31	116	448
32	33	443
33	281	429
34	667	426
35	488	387
36	340	382
37	771	377
38	172	365
39	47	363
40	357	351
41	44	337
42	361	333
43	429	328
44	317	317
45	7	310
46	235	306
47	227	324
48	337	293
49	235	274
50	244	205
51	325	194
52	390	149
53	328	104
54	319	55
55	439	45
56	6	2
