Vortex	x	y
1	170	800
2	364	779
3	772	768
4	510	759
5	558	779
6	445	748
7	495	747
8	347	699
9	371	690
10	17	646
11	449	639
12	332	585
13	381	584
14	739	557
15	569	546
16	533	553
17	428	530
18	231	484
19	635	479
20	373	478
21	794	475
22	416	476
23	575	473
24	481	473
25	502	477
26	353	474
27	117	468
28	727	464
29	472	463
30	341	463
31	714	452
32	812	449
33	37	450
34	126	445
35	338	443
36	232	435
37	340	399
38	657	389
39	285	388
40	67	371
41	176	366
42	352	344
43	343	333
44	339	317
45	45	285
46	75	326
47	263	280
48	40	269
49	268	255
50	343	242
51	337	182
52	427	159
53	364	102
54	352	89
55	259	76
56	47	44
57	341	20
58	366	3
