Vortex	x	y
1	670	791
2	647	684
3	361	605
4	663	595
5	657	611
6	456	584
7	664	571
8	604	553
9	615	577
10	592	550
11	724	488
12	708	467
13	650	462
14	211	455
15	578	440
16	531	440
17	533	424
18	530	375
19	232	360
20	646	358
21	535	357
22	594	357
23	692	355
24	737	346
25	779	336
26	487	308
27	508	329
28	800	305
29	441	285
30	376	284
31	393	282
32	459	281
33	756	254
34	375	237
35	266	223
36	458	222
37	750	218
38	794	214
39	813	209
40	765	206
41	714	201
42	238	202
43	264	214
44	658	194
45	458	168
46	131	169
47	354	166
48	621	157
49	225	153
50	206	158
51	245	152
52	24	146
53	462	123
54	347	107
55	614	102
56	328	92
57	469	79
58	598	65
59	561	60
60	610	50
61	480	37
62	603	22
63	511	16
