Vortex	x	y
1	453	793
2	362	697
3	304	680
4	537	673
5	434	656
6	583	644
7	603	650
8	749	632
9	334	618
10	329	561
11	343	517
12	749	511
13	136	511
14	557	508
15	617	497
16	521	497
17	256	487
18	198	482
19	298	473
20	479	466
21	472	482
22	118	453
23	495	452
24	699	394
25	159	381
26	473	374
27	501	365
28	22	363
29	441	343
30	347	338
31	335	344
32	510	338
33	364	320
34	741	310
35	450	314
36	478	306
37	319	295
38	778	295
39	142	279
40	309	259
41	167	217
42	172	232
43	319	198
44	422	116
45	505	75
46	184	66
47	305	68
48	521	36
