Vortex	x	y
1	470	795
2	665	794
3	641	691
4	454	579
5	362	580
6	661	566
7	603	556
8	613	577
9	587	554
10	722	489
11	766	479
12	802	477
13	748	473
14	697	468
15	638	461
16	236	454
17	525	447
18	576	443
19	237	362
20	587	360
21	532	359
22	640	359
23	687	354
24	731	347
25	21	346
26	773	336
27	508	334
28	811	327
29	797	312
30	482	306
31	368	291
32	417	286
33	405	285
34	456	284
35	752	260
36	372	240
37	261	229
38	456	229
39	698	225
40	703	240
41	745	218
42	786	215
43	765	209
44	235	205
45	258	213
46	713	204
47	658	200
48	355	177
49	457	175
50	122	176
51	616	158
52	250	155
53	20	152
54	462	129
55	348	119
56	574	113
57	591	117
58	611	103
59	327	95
60	470	85
61	597	70
62	343	68
63	554	65
64	606	52
65	337	50
66	480	43
67	601	29
68	339	20
69	504	19
70	337	4
71	488	4
