Vortex	x	y
1	463	770
2	282	775
3	459	760
4	345	759
5	259	755
6	734	731
7	354	713
8	498	715
9	450	686
10	461	649
11	359	635
12	434	586
13	371	580
14	456	565
15	352	559
16	59	555
17	719	532
18	40	532
19	776	518
20	476	519
21	431	484
22	55	470
23	257	464
24	102	462
25	180	457
26	236	445
27	570	442
28	688	389
29	332	385
30	229	382
31	129	366
32	250	360
33	168	355
34	712	354
35	501	351
36	42	352
37	57	357
38	297	339
39	647	337
40	465	315
41	100	316
42	374	246
43	479	169
44	427	127
45	461	103
46	284	97
47	84	79
48	298	40
