Vortex	x	y
1	676	787
2	655	674
3	363	660
4	661	622
5	459	592
6	611	552
7	725	535
8	731	512
9	731	489
10	727	474
11	669	463
12	156	453
13	583	433
14	584	399
15	579	367
16	533	362
17	657	356
18	224	357
19	609	356
20	703	353
21	549	351
22	747	347
23	790	337
24	806	291
25	454	283
26	465	267
27	762	243
28	448	237
29	418	232
30	372	228
31	759	217
32	805	210
33	460	207
34	814	205
35	769	201
36	260	203
37	718	194
38	659	184
39	142	161
40	460	158
41	631	156
42	194	155
43	352	147
44	29	139
45	463	113
46	620	96
47	335	87
48	306	84
49	278	92
50	468	68
51	598	58
52	572	53
53	615	47
54	478	27
55	525	10
56	606	10
