Vortex	x	y
1	451	794
2	460	808
3	461	757
4	361	726
5	371	765
6	307	665
7	539	647
8	723	619
9	435	593
10	378	547
11	757	513
12	151	509
13	373	508
14	558	505
15	617	498
16	507	497
17	231	486
18	94	455
19	54	444
20	83	454
21	309	442
22	268	437
23	680	419
24	473	417
25	462	444
26	223	381
27	549	362
28	603	358
29	59	355
30	18	361
31	522	348
32	401	343
33	372	353
34	696	310
35	319	309
36	468	294
37	786	286
38	169	277
39	454	267
40	311	258
41	458	212
42	318	198
43	397	135
44	506	120
45	196	93
46	303	59
47	530	30
