Vortex	x	y
1	173	798
2	363	770
3	767	764
4	518	757
5	446	736
6	348	694
7	369	679
8	356	668
9	114	661
10	154	702
11	353	652
12	12	639
13	449	623
14	334	581
15	378	572
16	736	554
17	554	545
18	532	550
19	813	537
20	425	525
21	235	481
22	637	479
23	376	479
24	407	478
25	515	474
26	795	474
27	488	474
28	123	467
29	342	462
30	352	474
31	163	462
32	148	460
33	476	455
34	45	453
35	136	446
36	335	440
37	245	439
38	338	409
39	664	393
40	291	390
41	79	369
42	193	367
43	486	346
44	360	340
45	342	328
46	469	329
47	342	300
48	267	279
49	59	299
50	270	263
51	337	179
52	421	151
53	357	89
54	262	79
55	52	49
56	342	22
