Vortex	x	y
1	462	811
2	464	777
3	343	756
4	459	750
5	257	748
6	287	774
7	729	726
8	495	709
9	354	704
10	447	680
11	462	664
12	360	627
13	429	579
14	370	571
15	356	556
16	458	554
17	717	529
18	42	527
19	68	560
20	476	519
21	772	516
22	60	473
23	440	469
24	112	462
25	259	460
26	188	456
27	595	444
28	244	445
29	237	386
30	705	380
31	346	376
32	136	369
33	263	358
34	66	358
35	9	354
36	150	353
37	38	351
38	704	351
39	507	349
40	297	339
41	660	338
42	105	318
43	466	306
44	372	221
45	477	152
46	465	112
47	435	111
48	287	99
49	89	85
50	300	44
