Vortex	x	y
1	463	798
2	446	776
3	461	750
4	361	697
5	308	663
6	540	644
7	718	617
8	433	585
9	758	513
10	153	508
11	559	504
12	615	498
13	503	496
14	408	474
15	442	473
16	457	459
17	119	455
18	684	418
19	342	408
20	475	401
21	231	382
22	343	373
23	472	370
24	39	369
25	623	359
26	357	358
27	66	355
28	18	352
29	523	349
30	540	362
31	445	344
32	414	341
33	320	313
34	689	309
35	787	286
36	454	278
37	465	292
38	172	277
39	311	257
40	318	200
41	457	193
42	398	132
43	507	127
44	198	98
45	302	56
46	530	28
