Vortex	x	y
1	588	810
2	151	809
3	440	800
4	794	791
5	512	788
6	333	775
7	484	758
8	339	754
9	374	737
10	341	722
11	449	718
12	6	664
13	382	611
14	325	601
15	441	576
16	763	573
17	532	568
18	588	560
19	215	491
20	776	489
21	640	485
22	353	486
23	495	484
24	707	478
25	63	476
26	33	486
27	94	474
28	536	470
29	330	462
30	530	462
31	1	448
32	464	446
33	79	441
34	205	435
35	467	420
36	679	418
37	534	376
38	240	374
39	16	376
40	97	367
41	369	352
42	396	348
43	604	334
44	58	332
45	736	325
46	547	326
47	331	321
48	28	305
49	354	286
50	439	282
51	247	282
52	345	280
53	489	269
54	256	226
55	4	225
56	481	212
57	330	175
58	397	136
59	338	109
60	491	78
61	243	53
62	327	39
63	24	21
