Vortex	x	y
1	473	814
2	668	792
3	646	685
4	362	593
5	455	583
6	663	569
7	603	553
8	614	578
9	590	551
10	724	489
11	704	467
12	645	461
13	222	454
14	578	441
15	530	442
16	533	418
17	530	380
18	233	361
19	592	358
20	644	358
21	534	359
22	690	354
23	735	346
24	4	343
25	777	336
26	814	327
27	506	328
28	798	307
29	487	309
30	435	286
31	373	286
32	398	283
33	458	282
34	754	256
35	374	238
36	265	226
37	458	224
38	749	217
39	791	214
40	814	211
41	765	207
42	714	202
43	237	203
44	262	214
45	659	197
46	354	170
47	458	170
48	128	171
49	619	158
50	247	153
51	23	148
52	462	125
53	348	111
54	613	102
55	328	93
56	470	81
57	598	67
58	559	61
59	609	51
60	480	39
61	602	24
62	509	17
