Vortex	x	y
1	465	774
2	459	753
3	343	756
4	256	749
5	288	776
6	731	728
7	495	711
8	354	707
9	448	683
10	463	661
11	359	630
12	430	581
13	371	574
14	457	558
15	355	557
16	718	530
17	40	526
18	69	563
19	476	519
20	773	517
21	58	472
22	436	475
23	109	462
24	258	462
25	186	456
26	586	444
27	242	445
28	235	386
29	697	384
30	341	380
31	134	368
32	258	358
33	62	357
34	155	353
35	707	352
36	41	351
37	506	350
38	297	339
39	655	337
40	103	317
41	466	310
42	372	230
43	478	161
44	432	119
45	464	108
46	286	98
47	87	82
48	299	42
