Vortex	x	y
1	306	808
2	344	757
3	755	752
4	506	739
5	187	726
6	234	760
7	452	713
8	168	704
9	353	678
10	362	628
11	447	596
12	58	581
13	125	659
14	340	572
15	729	545
16	798	530
17	424	511
18	364	513
19	471	501
20	8	509
21	652	477
22	375	480
23	244	477
24	486	474
25	473	491
26	59	471
27	138	463
28	772	456
29	779	469
30	189	454
31	293	452
32	310	453
33	805	446
34	335	442
35	514	430
36	673	398
37	305	392
38	220	369
39	102	364
40	509	355
41	343	330
42	313	345
43	460	306
44	386	302
45	74	305
46	338	164
47	418	144
48	270	87
49	63	59
50	355	51
51	347	37
52	287	18
53	369	11
