Vortex	x	y
1	48	813
2	337	798
3	440	793
4	475	792
5	336	782
6	2	766
7	370	752
8	475	715
9	435	654
10	313	645
11	377	614
12	545	614
13	667	598
14	357	583
15	500	582
16	339	573
17	501	565
18	360	553
19	337	553
20	759	508
21	171	503
22	568	496
23	670	488
24	34	479
25	17	479
26	263	478
27	242	476
28	666	474
29	233	459
30	262	456
31	517	453
32	64	446
33	474	442
34	459	453
35	201	439
36	672	393
37	162	381
38	22	377
39	101	341
40	23	341
41	376	338
42	365	356
43	251	315
44	233	315
45	363	298
46	803	280
47	202	270
48	319	249
49	340	149
50	218	148
51	328	145
52	422	144
53	309	58
54	536	12
