30.0	5	4	0
33.0	6	33	0
36.0	6	6	0
39.0	4	11	1
42.1	2	0	0
45.0	9	4	1
48.0	1	10	0
51.0	2	4	0
54.0	8	4	0
57.0	3	11	0
60.0	6	2	0
63.0	9	12	0
66.0	12	7	2
69.0	6	4	0
72.0	14	11	0
75.0	11	11	0
78.0	12	1	0
81.0	12	8	0
84.0	18	17	0
87.0	6	1	0
90.0	9	8	1
93.0	10	4	0
96.0	8	1	0
99.0	14	2	0
102.0	6	15	0
105.0	10	5	0
108.0	8	12	0
111.0	6	4	0
114.0	14	20	2
117.0	7	10	0
120.0	8	3	0
123.0	8	15	0
126.0	15	28	0
129.0	12	19	0
132.0	13	3	0
135.0	18	9	0
138.0	16	35	0
141.0	17	18	0
144.0	21	9	2
147.0	13	7	0
150.0	21	36	1
153.0	32	20	0
156.0	21	22	1
159.0	27	40	2
162.0	26	63	1
165.0	36	22	1
168.0	13	14	2
171.0	8	12	0
174.0	20	18	0
177.0	19	5	0
180.0	16	13	0
183.0	13	29	1
186.0	20	20	0
189.0	18	6	1
192.0	20	21	1
195.0	18	11	0
198.0	20	16	0
201.0	38	35	2
204.0	24	37	2
207.0	48	55	2
210.1	37	32	1
214.0	66	48	3
217.0	33	52	1
220.0	37	46	1
223.0	37	28	1
226.0	28	21	0
229.0	15	14	0
232.0	24	17	0
235.0	20	17	0
238.0	23	15	0
241.0	26	10	0
244.0	33	42	2
247.0	30	51	0
250.0	28	8	0
253.0	35	24	1
256.0	22	25	0
259.0	38	31	0
262.0	32	38	0
265.0	34	35	0
268.0	27	26	0
271.0	31	50	2
274.0	32	46	0
277.0	34	22	0
280.0	35	40	1
283.0	31	44	1
286.0	34	53	2
289.0	43	71	1
292.0	49	85	1
295.0	52	42	3
298.0	50	43	0
301.0	48	32	0
304.0	46	38	0
307.0	50	25	0
310.0	38	28	0
313.0	47	57	2
316.0	44	19	0
319.0	41	32	1
322.0	47	17	1
325.0	35	21	1
328.0	44	26	2
