30,3,779.16,317.13,20.00,20.00,1,-1,-1,-1
31,1,478.89,11.91,20.00,20.00,1,-1,-1,-1
31,3,784.07,316.87,20.00,20.00,1,-1,-1,-1
32,1,479.13,6.33,20.00,20.00,1,-1,-1,-1
32,3,789.69,316.79,20.00,20.00,1,-1,-1,-1
32,29,574.59,462.98,20.00,20.00,1,-1,-1,-1
32,30,539.77,466.02,20.00,20.00,1,-1,-1,-1
33,1,479.20,1.77,20.00,20.00,1,-1,-1,-1
33,3,792.94,316.78,20.00,20.00,1,-1,-1,-1
33,29,580.36,462.19,20.00,20.00,1,-1,-1,-1
33,30,538.57,466.81,20.00,20.00,1,-1,-1,-1
33,31,333.02,215.21,20.00,20.00,1,-1,-1,-1
33,32,329.54,258.64,20.00,20.00,1,-1,-1,-1
34,1,479.21,-1.08,20.00,20.00,1,-1,-1,-1
34,3,799.26,316.13,20.00,20.00,1,-1,-1,-1
34,29,585.68,461.21,20.00,20.00,1,-1,-1,-1
34,30,535.39,467.79,20.00,20.00,1,-1,-1,-1
34,31,333.81,210.47,20.00,20.00,1,-1,-1,-1
34,32,329.24,261.57,20.00,20.00,1,-1,-1,-1
35,1,479.86,-1.97,20.00,20.00,1,-1,-1,-1
35,3,802.12,315.90,20.00,20.00,1,-1,-1,-1
35,29,590.82,460.90,20.00,20.00,1,-1,-1,-1
35,30,533.00,468.35,20.00,20.00,1,-1,-1,-1
35,31,334.79,205.45,20.00,20.00,1,-1,-1,-1
35,32,329.43,263.61,20.00,20.00,1,-1,-1,-1
35,38,354.88,537.00,20.00,20.00,1,-1,-1,-1
36,1,480.26,-6.28,20.00,20.00,1,-1,-1,-1
36,3,804.33,315.83,20.00,20.00,1,-1,-1,-1
36,29,595.18,460.12,20.00,20.00,1,-1,-1,-1
36,31,335.10,201.10,20.00,20.00,1,-1,-1,-1
36,38,352.38,537.00,20.00,20.00,1,-1,-1,-1
36,46,257.98,442.88,20.00,20.00,1,-1,-1,-1
37,3,808.84,315.47,20.00,20.00,1,-1,-1,-1
37,29,599.27,459.86,20.00,20.00,1,-1,-1,-1
37,31,335.88,196.98,20.00,20.00,1,-1,-1,-1
37,38,350.17,537.00,20.00,20.00,1,-1,-1,-1
37,46,257.95,444.83,20.00,20.00,1,-1,-1,-1
38,29,602.60,459.11,20.00,20.00,1,-1,-1,-1
38,31,336.82,192.95,20.00,20.00,1,-1,-1,-1
38,38,348.09,537.00,20.00,20.00,1,-1,-1,-1
38,46,257.95,446.85,20.00,20.00,1,-1,-1,-1
39,29,606.32,458.86,20.00,20.00,1,-1,-1,-1
39,31,337.14,188.94,20.00,20.00,1,-1,-1,-1
39,38,346.76,537.00,20.00,20.00,1,-1,-1,-1
39,46,258.68,448.88,20.00,20.00,1,-1,-1,-1
40,29,610.20,458.12,20.00,20.00,1,-1,-1,-1
40,31,337.91,185.62,20.00,20.00,1,-1,-1,-1
40,38,344.99,536.31,20.00,20.00,1,-1,-1,-1
40,46,259.63,450.90,20.00,20.00,1,-1,-1,-1
41,29,613.48,457.19,20.00,20.00,1,-1,-1,-1
41,31,338.84,182.55,20.00,20.00,1,-1,-1,-1
41,38,343.75,536.06,20.00,20.00,1,-1,-1,-1
41,46,259.97,452.23,20.00,20.00,1,-1,-1,-1
42,29,616.53,456.87,20.00,20.00,1,-1,-1,-1
42,31,339.16,179.56,20.00,20.00,1,-1,-1,-1
42,38,341.34,535.30,20.00,20.00,1,-1,-1,-1
42,46,260.76,455.36,20.00,20.00,1,-1,-1,-1
43,29,620.17,456.11,20.00,20.00,1,-1,-1,-1
43,31,339.25,175.94,20.00,20.00,1,-1,-1,-1
43,38,338.50,533.68,20.00,20.00,1,-1,-1,-1
43,46,262.39,458.46,20.00,20.00,1,-1,-1,-1
44,29,623.37,455.84,20.00,20.00,1,-1,-1,-1
44,31,339.93,172.73,20.00,20.00,1,-1,-1,-1
44,38,338.19,533.75,20.00,20.00,1,-1,-1,-1
44,46,262.30,458.85,20.00,20.00,1,-1,-1,-1
45,29,626.41,455.77,20.00,20.00,1,-1,-1,-1
45,31,340.83,170.35,20.00,20.00,1,-1,-1,-1
45,38,336.82,533.13,20.00,20.00,1,-1,-1,-1
45,46,263.59,458.23,20.00,20.00,1,-1,-1,-1
46,29,628.73,454.43,20.00,20.00,1,-1,-1,-1
46,31,340.48,166.94,20.00,20.00,1,-1,-1,-1
46,38,335.13,532.75,20.00,20.00,1,-1,-1,-1
46,46,264.15,459.80,20.00,20.00,1,-1,-1,-1
47,29,631.45,454.61,20.00,20.00,1,-1,-1,-1
47,31,341.65,163.81,20.00,20.00,1,-1,-1,-1
48,29,634.32,454.04,20.00,20.00,1,-1,-1,-1
48,31,342.07,160.78,20.00,20.00,1,-1,-1,-1
49,29,637.25,453.18,20.00,20.00,1,-1,-1,-1
49,31,341.55,157.79,20.00,20.00,1,-1,-1,-1
50,29,640.21,453.54,20.00,20.00,1,-1,-1,-1
50,31,341.99,154.80,20.00,20.00,1,-1,-1,-1
51,29,643.18,453.03,20.00,20.00,1,-1,-1,-1
51,31,342.14,151.82,20.00,20.00,1,-1,-1,-1
52,29,646.16,452.86,20.00,20.00,1,-1,-1,-1
52,31,342.18,148.84,20.00,20.00,1,-1,-1,-1
53,29,649.14,452.81,20.00,20.00,1,-1,-1,-1
53,31,342.18,145.86,20.00,20.00,1,-1,-1,-1
54,29,652.12,452.81,20.00,20.00,1,-1,-1,-1
54,31,342.17,142.88,20.00,20.00,1,-1,-1,-1
55,29,656.43,453.48,20.00,20.00,1,-1,-1,-1
55,31,342.15,139.89,20.00,20.00,1,-1,-1,-1
56,29,657.93,453.75,20.00,20.00,1,-1,-1,-1
56,31,341.48,134.92,20.00,20.00,1,-1,-1,-1
57,29,662.34,453.86,20.00,20.00,1,-1,-1,-1
57,31,341.62,131.55,20.00,20.00,1,-1,-1,-1
58,29,668.51,455.23,20.00,20.00,1,-1,-1,-1
59,29,672.09,455.25,20.00,20.00,1,-1,-1,-1
61,59,456.78,790.11,20.00,20.00,1,-1,-1,-1
61,62,450.44,134.46,20.00,20.00,1,-1,-1,-1
62,59,457.02,782.13,20.00,20.00,1,-1,-1,-1
62,62,449.95,128.78,20.00,20.00,1,-1,-1,-1
62,63,540.43,325.42,20.00,20.00,1,-1,-1,-1
62,64,665.78,344.78,20.00,20.00,1,-1,-1,-1
63,59,457.82,773.93,20.00,20.00,1,-1,-1,-1
63,62,449.09,123.46,20.00,20.00,1,-1,-1,-1
63,63,533.16,324.14,20.00,20.00,1,-1,-1,-1
63,64,671.24,345.79,20.00,20.00,1,-1,-1,-1
64,59,458.07,765.03,20.00,20.00,1,-1,-1,-1
64,62,449.55,119.02,20.00,20.00,1,-1,-1,-1
64,63,531.77,323.78,20.00,20.00,1,-1,-1,-1
64,64,677.24,346.83,20.00,20.00,1,-1,-1,-1
64,67,29.38,337.98,20.00,20.00,1,-1,-1,-1
65,59,458.14,757.33,20.00,20.00,1,-1,-1,-1
65,62,448.34,113.48,20.00,20.00,1,-1,-1,-1
65,63,525.82,321.56,20.00,20.00,1,-1,-1,-1
65,64,681.92,347.15,20.00,20.00,1,-1,-1,-1
65,67,38.49,337.95,20.00,20.00,1,-1,-1,-1
65,68,474.32,271.46,20.00,20.00,1,-1,-1,-1
66,59,458.84,748.71,20.00,20.00,1,-1,-1,-1
66,62,448.62,108.95,20.00,20.00,1,-1,-1,-1
66,63,521.47,320.42,20.00,20.00,1,-1,-1,-1
66,64,686.13,347.23,20.00,20.00,1,-1,-1,-1
66,67,47.06,337.22,20.00,20.00,1,-1,-1,-1
66,68,475.11,273.71,20.00,20.00,1,-1,-1,-1
67,59,459.07,739.75,20.00,20.00,1,-1,-1,-1
67,62,448.75,104.79,20.00,20.00,1,-1,-1,-1
67,64,690.87,347.23,20.00,20.00,1,-1,-1,-1
67,67,53.72,336.92,20.00,20.00,1,-1,-1,-1
68,59,459.14,730.70,20.00,20.00,1,-1,-1,-1
68,62,448.81,100.08,20.00,20.00,1,-1,-1,-1
68,64,695.80,347.21,20.00,20.00,1,-1,-1,-1
68,67,65.07,336.94,20.00,20.00,1,-1,-1,-1
69,59,459.15,722.30,20.00,20.00,1,-1,-1,-1
69,62,448.85,95.17,20.00,20.00,1,-1,-1,-1
69,64,700.80,347.18,20.00,20.00,1,-1,-1,-1
69,67,74.30,336.91,20.00,20.00,1,-1,-1,-1
70,59,459.81,712.80,20.00,20.00,1,-1,-1,-1
70,62,448.87,89.51,20.00,20.00,1,-1,-1,-1
70,64,706.49,346.48,20.00,20.00,1,-1,-1,-1
70,67,83.41,336.22,20.00,20.00,1,-1,-1,-1
71,59,460.05,703.57,20.00,20.00,1,-1,-1,-1
71,62,449.56,83.59,20.00,20.00,1,-1,-1,-1
71,64,712.43,346.21,20.00,20.00,1,-1,-1,-1
71,67,92.50,335.98,20.00,20.00,1,-1,-1,-1
72,59,460.12,693.78,20.00,20.00,1,-1,-1,-1
72,62,449.82,76.23,20.00,20.00,1,-1,-1,-1
72,64,719.12,346.11,20.00,20.00,1,-1,-1,-1
72,67,101.57,335.91,20.00,20.00,1,-1,-1,-1
73,59,460.14,683.79,20.00,20.00,1,-1,-1,-1
73,62,450.59,68.35,20.00,20.00,1,-1,-1,-1
73,64,727.42,345.39,20.00,20.00,1,-1,-1,-1
73,67,111.30,335.89,20.00,20.00,1,-1,-1,-1
74,59,460.13,673.07,20.00,20.00,1,-1,-1,-1
