30.0	5	1	0
33.0	6	0	0
36.0	6	0	0
39.0	5	1	0
42.1	2	0	0
45.0	10	0	0
48.0	1	3	0
51.0	2	0	0
54.0	8	0	0
57.0	3	1	0
60.0	6	0	0
63.0	9	1	0
66.0	13	7	1
69.0	6	0	0
72.0	14	0	0
75.0	11	1	0
78.0	12	0	0
81.0	12	10	0
84.0	18	0	0
87.0	6	0	0
90.0	10	0	0
93.0	8	0	2
96.0	8	0	0
99.0	14	0	0
102.0	6	16	0
105.0	10	8	0
108.0	8	0	0
111.0	6	0	0
114.0	16	0	0
117.0	7	5	0
120.0	8	0	0
123.0	8	0	0
126.0	15	3	0
129.0	12	0	0
132.0	13	1	0
135.0	18	4	0
138.0	16	8	0
141.0	17	7	0
144.0	23	3	0
147.0	12	0	1
150.0	22	2	0
153.0	30	2	2
156.0	22	4	0
159.0	27	1	2
162.0	26	6	1
165.0	35	1	2
168.0	13	9	2
171.0	8	4	0
174.0	20	2	0
177.0	19	1	0
180.0	16	2	0
183.0	14	6	0
186.0	20	2	0
189.0	19	3	0
192.0	19	5	2
195.0	16	0	2
198.0	20	6	0
201.0	40	2	0
204.0	26	2	0
207.0	48	8	2
210.1	38	2	0
214.0	68	8	1
217.0	34	3	0
220.0	33	7	5
223.0	38	4	0
226.0	26	4	2
229.0	15	11	0
232.0	24	0	0
235.0	20	4	0
238.0	23	3	0
241.0	26	7	0
244.0	35	5	0
247.0	30	12	0
250.0	28	0	0
253.0	34	0	2
256.0	22	2	0
259.0	38	0	0
262.0	32	8	0
265.0	34	6	0
268.0	23	1	4
271.0	32	2	1
274.0	32	4	0
277.0	34	2	0
280.0	36	0	0
283.0	32	0	0
286.0	36	6	0
289.0	42	4	2
292.0	50	10	0
295.0	52	2	3
298.0	48	6	2
301.0	46	0	2
304.0	45	5	1
307.0	49	1	1
310.0	38	18	0
313.0	49	1	0
316.0	42	0	2
319.0	42	0	0
322.0	48	0	0
325.0	36	0	0
328.0	46	2	0
